 -0.177719 -0.0193891   0.848056   -1.57485  0.0792493 -0.0259998  -0.142353   0.377362	1.77035  6.9072
 -0.176958 -0.0196283    0.84666   -1.57122  0.0728969 -0.0218439  -0.136817   0.347983	1.73949 6.86345
 -0.176262 -0.0198255   0.845321   -1.56789  0.0663437  -0.017595  -0.130917   0.317565	1.71648 6.83415
 -0.175631 -0.0199798   0.844044   -1.56488  0.0597284  -0.013269  -0.124473   0.285857	1.70166 6.81843
  -0.175067  -0.0200907    0.842833    -1.56218   0.0531583 -0.00889263   -0.117771    0.253606	1.69538 6.81551
  -0.174568  -0.0201576    0.841688     -1.5598    0.046718 -0.00450032   -0.111298    0.221912	1.69761 6.82425
  -0.174132  -0.0201808    0.840604    -1.55773   0.0404804 -0.00012743    -0.10535     0.19145	1.70791 6.84317
 -0.173757 -0.0201604   0.839578   -1.55597  0.0345088 0.00419383 -0.0999581   0.162355	1.72569 6.87084
  -0.17344 -0.0200973   0.838603   -1.55448  0.0288528 0.00843371  -0.095053   0.134599	1.75038   6.906
 -0.173178 -0.0199923   0.837674   -1.55327  0.0235465  0.0125631  -0.090632   0.108305	1.78148 6.94757
 -0.172967 -0.0198467   0.836787   -1.55231  0.0186102  0.0165532 -0.0867607  0.0837239	1.81841 6.99447
 -0.172804 -0.0196621   0.835936   -1.55158  0.0140549  0.0203773 -0.0834886  0.0610547	1.86048 7.04564
 -0.172684 -0.0194401   0.835115   -1.55108 0.00988455  0.0240116 -0.0807956  0.0403395	1.90697 7.10006
 -0.172604 -0.0191829   0.834318   -1.55077 0.00609691  0.0274364 -0.0786123  0.0215169	1.95718 7.15682
  -0.17256 -0.0188925    0.83354   -1.55064 0.00268363  0.0306348  -0.076867 0.00451604	2.01041 7.21512
   -0.172549   -0.0185714     0.832778     -1.55067 -0.000368961    0.0335931   -0.0755063   -0.0107064	2.06603 7.27427
  -0.172566  -0.0182219    0.832028    -1.55084 -0.00307827   0.0363006  -0.0744843  -0.0241938	2.12341 7.33363
  -0.172609  -0.0178467    0.831287    -1.55114 -0.00546399   0.0387495  -0.0737457  -0.0360226	2.18196 7.39265
  -0.172674  -0.0174482    0.830552    -1.55155 -0.00754727   0.0409353  -0.0732246  -0.0463029	 2.2411 7.45084
  -0.172758  -0.0170293    0.829822    -1.55206 -0.00935022   0.0428564  -0.0728545  -0.0551563	2.30033  7.5078
 -0.172859 -0.0165924   0.829095   -1.55265 -0.0108955  0.0445139 -0.0725771 -0.0626973	2.35918 7.56321
 -0.172975 -0.0161403    0.82837   -1.55331 -0.0122059  0.0459112 -0.0723436 -0.0690327	2.41724 7.61679
 -0.173102 -0.0156755   0.827648   -1.55403 -0.0133037  0.0470537 -0.0721105 -0.0742683	2.47414 7.66833
  -0.17324 -0.0152005   0.826928   -1.55479   -0.01421   0.047949 -0.0718376 -0.0785125	2.52956 7.71767
 -0.173386 -0.0147177   0.826212   -1.55559 -0.0149451  0.0486061  -0.071489 -0.0818727	2.58323 7.76467
 -0.173538 -0.0142295   0.825499   -1.55642 -0.0155281  0.0490358 -0.0710357 -0.0844493	 2.6349 7.80928
 -0.173696 -0.0137381   0.824791   -1.55728 -0.0159766  0.0492497 -0.0704556 -0.0863337	2.68441 7.85143
 -0.173857 -0.0132455   0.824091   -1.55815 -0.0163069  0.0492608 -0.0697333 -0.0876096	2.73158 7.89112
 -0.174021 -0.0127538   0.823398   -1.55903 -0.0165339  0.0490822  -0.068858 -0.0883549	2.77633 7.92835
 -0.174187 -0.0122647   0.822714   -1.55991 -0.0166709  0.0487282 -0.0678238 -0.0886412	2.81856 7.96316
 -0.174354   -0.01178   0.822042    -1.5608 -0.0167302  0.0482129 -0.0666287 -0.0885335	2.85823 7.99559
 -0.174522 -0.0113012   0.821382   -1.56168 -0.0167224  0.0475509 -0.0652754 -0.0880894	2.89531 8.02571
 -0.174689 -0.0108297   0.820737   -1.56256 -0.0166571  0.0467566 -0.0637698 -0.0873599	2.92982  8.0536
 -0.174855 -0.0103667   0.820108   -1.56343 -0.0165426  0.0458443 -0.0621209 -0.0863898	2.96178 8.07932
  -0.175019 -0.00991331    0.819495    -1.56428  -0.0163863   0.0448281    -0.06034  -0.0852188	2.99124 8.10299
  -0.175182 -0.00947056    0.818902    -1.56513  -0.0161947   0.0437216  -0.0584401  -0.0838815	3.01825 8.12468
  -0.175343 -0.00903926    0.818327    -1.56596  -0.0159733    0.042538  -0.0564355  -0.0824081	3.04289 8.14449
  -0.175501 -0.00862012    0.817773    -1.56678  -0.0157268     0.04129  -0.0543418  -0.0808242	3.06524 8.16253
  -0.175657 -0.00821373    0.817241    -1.56758  -0.0154594   0.0399895  -0.0521749   -0.079152	 3.0854 8.17889
  -0.175811 -0.00782054     0.81673    -1.56836  -0.0151747    0.038648  -0.0499511  -0.0774104	3.10347 8.19367
  -0.175961 -0.00744092    0.816242    -1.56913  -0.0148757   0.0372763  -0.0476864  -0.0756157	3.11956 8.20696
  -0.176108 -0.00707511    0.815776    -1.56987  -0.0145651   0.0358841  -0.0453966  -0.0737815	3.13378 8.21886
  -0.176252 -0.00672329    0.815334     -1.5706  -0.0142451   0.0344809  -0.0430969  -0.0719198	3.14624 8.22946
  -0.176393 -0.00638551    0.814914    -1.57131  -0.0139178   0.0330751  -0.0408017  -0.0700403	3.15705 8.23885
   -0.17653 -0.00606176    0.814518      -1.572  -0.0135848   0.0316745  -0.0385244  -0.0681517	3.16632 8.24711
  -0.176665 -0.00575196    0.814144    -1.57267  -0.0132477   0.0302862  -0.0362776  -0.0662613	3.17417 8.25433
  -0.176795 -0.00545595    0.813792    -1.57333  -0.0129078   0.0289165  -0.0340728  -0.0643753	 3.1807 8.26058
  -0.176923 -0.00517351    0.813462    -1.57396  -0.0125663   0.0275712    -0.03192  -0.0624993	3.18603 8.26595
  -0.177047 -0.00490437    0.813153    -1.57458  -0.0122244   0.0262553  -0.0298286  -0.0606382	3.19025 8.27049
  -0.177167 -0.00464823    0.812865    -1.57517  -0.0118831   0.0249732  -0.0278063  -0.0587963	3.19346 8.27429
  -0.177284 -0.00440472    0.812597    -1.57575  -0.0115432   0.0237286    -0.02586  -0.0569775	3.19577  8.2774
